Date,Open,High,Low,Close,Volume,Market Cap
2017-09-06,4.41,6.16,3.9,4.46,77799,1985180
2017-09-07,4.44,4.69,3.67,4.63,33221,2020440
2017-09-08,4.51,5.52,4.0,4.29,32157,2062280
2017-09-09,4.3,5.32,3.8,5.16,60027,1975530
2017-09-10,5.16,5.49,4.68,5.02,57962,2378830
2017-09-11,5.03,5.75,4.6,5.43,36856,2329110
2017-09-12,5.43,11.77,5.4,7.35,256250,2520450
2017-09-13,7.97,9.78,6.84,8.74,137298,3722340
2017-09-14,9.49,9.57,6.1,6.1,116628,8319310
2017-09-15,6.17,7.65,5.27,6.96,105353,5424450
2017-09-16,6.94,7.55,5.71,6.24,61844,6115020
2017-09-17,6.24,6.84,5.56,6.26,44110,5511870
2017-09-18,6.25,6.89,5.18,5.7,84248,5543680
2017-09-19,5.71,5.97,4.01,5.09,91519,5233300
2017-09-20,5.12,5.31,4.37,4.83,51592,4738560
2017-09-21,4.81,5.84,4.74,4.8,35392,4466900
2017-09-22,4.79,5.36,4.64,4.82,19797,4470480
2017-09-23,4.77,5.25,4.36,5.08,45694,4468230
2017-09-24,4.78,5.28,4.68,5.22,50812,4481370
2017-09-25,5.22,5.67,5.12,5.42,32927,4905750
2017-09-26,5.42,5.84,4.96,5.38,26036,5130900
2017-09-27,5.32,6.07,5.12,5.97,31952,5198040
2017-09-28,5.97,6.06,5.56,5.81,22406,5840690
2017-09-29,5.8,5.88,5.47,5.58,40717,5693340
2017-09-30,5.58,6.3,5.58,6.03,36277,5490750
2017-10-01,6.1,6.36,5.86,6.08,59559,6014180
2017-10-02,6.08,7.28,5.97,6.53,78391,6012680
2017-10-03,6.53,6.66,6.08,6.35,47238,6673830
2017-10-04,6.36,6.57,5.79,5.96,58290,6520930
2017-10-05,5.96,6.35,5.24,5.32,38584,6123800
2017-10-06,5.32,6.42,5.27,5.91,22738,5474530
2017-10-07,6.04,6.24,5.84,6.11,32013,6234060
2017-10-08,6.1,6.91,6.07,6.43,74691,6302380
2017-10-09,6.42,6.48,4.84,4.86,35597,6651810
2017-10-10,4.86,6.06,4.66,5.69,56988,5051130
2017-10-11,5.69,7.05,4.78,5.8,123335,5919980
2017-10-12,5.81,6.83,4.77,6.47,111134,6236580
2017-10-13,6.49,6.83,5.77,6.18,23303,6995620
2017-10-14,6.4,6.6,5.64,5.84,45884,6909440
2017-10-15,5.85,6.09,5.14,5.92,60931,6349380
2017-10-16,5.92,6.06,5.09,5.4,24073,6443770
2017-10-17,5.39,6.19,5.18,5.4,60024,6231420
2017-10-18,5.4,5.63,5.01,5.61,27170,6276140
2017-10-19,5.61,5.87,5.29,5.82,32055,6530420
2017-10-20,5.82,5.84,5.32,5.65,35449,6785270
2017-10-21,5.64,6.55,5.62,5.99,41287,6563210
2017-10-22,5.99,7.08,5.6,6.59,99543,6989410
2017-10-23,6.57,7.7,5.45,5.97,79566,7782430
2017-10-24,5.96,7.35,5.79,6.61,112841,7413620
2017-10-25,7.0,8.57,6.06,8.54,132872,8759340
2017-10-26,8.28,11.44,7.83,9.79,345892,10393400
2017-10-27,9.5,9.96,7.67,8.62,267383,11979800
2017-10-28,8.65,9.69,8.51,8.95,213241,10987700
2017-10-29,9.23,9.85,7.52,8.16,375874,11804600
2017-10-30,8.29,9.08,5.53,6.38,348378,10697400
2017-10-31,6.3,7.49,5.77,6.43,202688,9558910
2017-11-01,6.43,7.16,6.1,6.53,60079,9788550
2017-11-02,6.54,6.65,4.22,5.46,187600,9979870
2017-11-03,5.45,7.81,5.21,6.56,71725,8338400
2017-11-04,6.54,25.21,6.13,8.92,290147,19883400
2017-11-05,8.85,9.49,7.68,8.39,188244,94005900
2017-11-06,8.41,10.44,7.1,8.31,176906,89333200
2017-11-07,8.29,10.63,7.56,10.61,249895,88133600
2017-11-08,10.58,11.64,9.3,9.32,271190,112372000
2017-11-09,9.31,11.29,8.94,10.21,1196060,98920300
2017-11-10,10.09,12.03,10.09,10.45,1117620,107240000
2017-11-11,10.67,11.09,9.95,10.27,1625650,113360000
2017-11-12,10.2,11.46,8.18,10.27,1570550,108401000
2017-11-13,10.32,15.93,9.85,14.49,2308130,109616000
2017-11-14,14.22,21.89,13.96,15.26,3669590,151139000
2017-11-15,15.79,28.24,15.35,27.06,9795290,167742000
2017-11-16,27.18,48.42,25.86,39.42,16475700,288804000
2017-11-17,40.38,44.26,31.39,34.61,9848620,428984000
2017-11-18,34.19,35.43,29.2,30.86,7895030,363287000
2017-11-19,30.85,31.16,21.9,28.9,6116720,327810000
2017-11-20,29.03,29.22,24.42,27.27,5793250,308410000
2017-11-21,23.96,31.71,23.96,26.54,5948850,254564000
2017-11-22,26.39,27.81,25.91,27.18,5056360,280370000
2017-11-23,27.03,27.61,25.41,26.41,5922900,287223000
2017-11-24,26.59,31.54,25.47,29.95,7058010,282534000
2017-11-25,29.47,36.57,29.31,34.31,6943120,313129000
2017-11-26,34.16,40.02,33.29,35.17,5523180,362995000
2017-11-27,35.34,39.53,30.5,33.0,4643100,375466000
2017-11-28,31.24,36.06,31.24,32.18,4292230,331894000
2017-11-29,32.03,33.31,25.32,27.87,3939860,340365000
2017-11-30,27.75,33.73,20.82,28.35,3949000,294801000
2017-12-01,28.88,31.28,25.28,31.1,3773490,306892000
2017-12-02,30.46,31.98,26.16,28.64,2945960,323617000
2017-12-03,27.83,29.08,22.39,24.52,3087720,295714000
2017-12-04,24.59,26.24,20.56,23.04,2795910,261304000
2017-12-05,22.73,25.45,17.7,19.09,2938420,241469000
2017-12-06,19.28,21.97,16.86,17.96,2951420,204897000
2017-12-07,17.54,25.4,16.88,25.2,3168520,186365000
2017-12-08,25.66,25.66,19.67,23.36,2073200,272582000
2017-12-09,22.95,24.09,18.01,20.66,2384060,243843000
2017-12-10,20.8,20.8,17.64,19.13,1439050,221043000
2017-12-11,18.73,21.54,13.81,18.0,1696500,198959000
2017-12-12,17.73,21.6,16.86,19.27,1528820,188335000
2017-12-13,18.87,19.39,12.89,16.09,2170780,200448000
2017-12-14,15.53,18.29,13.98,18.04,3670950,165050000
2017-12-15,17.39,19.96,17.0,17.25,3931010,184758000
2017-12-16,18.86,21.6,16.91,20.92,4529860,200378000
2017-12-17,19.5,21.31,18.57,19.43,3725710,207170000
2017-12-18,19.04,20.56,16.55,16.55,1104150,202334000
2017-12-19,16.69,17.96,15.87,16.36,2748740,177344000
2017-12-20,16.62,17.14,14.87,15.4,2955350,176635000
2017-12-21,15.56,16.93,14.9,15.88,3074510,165337000
2017-12-22,15.95,16.19,11.8,15.41,2773170,169478000
2017-12-23,15.61,17.08,14.23,15.53,2941380,165816000
2017-12-24,15.5,16.65,13.2,15.7,3040990,164660000
2017-12-25,15.57,19.65,15.12,16.47,3174970,165447000
2017-12-26,16.52,17.75,14.95,16.87,3274400,175532000
2017-12-27,17.13,18.75,16.1,17.66,3501510,182027000
2017-12-28,17.48,17.7,15.17,16.16,3087760,185765000
2017-12-29,16.3,20.51,16.17,20.45,4119080,173164000
