Date,Open,High,Low,Close,Volume,Market Cap
2017-07-23,555.89,578.97,411.78,413.06,85013,-
2017-07-24,412.58,578.89,409.21,440.7,190952,-
2017-07-25,441.35,541.66,338.09,406.9,524908,-
2017-07-26,407.08,486.16,321.79,365.82,1784640,-
2017-07-27,417.1,460.97,367.78,385.48,533207,-
2017-07-28,386.65,465.18,217.06,406.05,1230160,-
2017-07-29,410.56,423.73,323.73,384.77,737815,-
2017-07-30,385.14,385.14,316.25,345.66,606695,-
2017-07-31,346.36,347.82,266.19,294.46,1075960,-
2017-08-01,294.6,426.11,210.38,380.01,65988800,-
2017-08-02,382.38,756.93,309.33,452.66,416207000,6302360000
2017-08-03,448.49,519.28,364.05,364.05,161518000,7392030000
2017-08-04,362.18,386.93,233.05,233.05,185038000,5969720000
2017-08-05,231.11,273.04,200.98,213.15,144043000,3809330000
2017-08-06,212.18,223.7,203.44,220.66,107606000,3497290000
2017-08-07,223.76,373.87,223.76,319.69,346546000,3688360000
2017-08-08,321.35,386.29,309.61,345.49,274880000,5297390000
2017-08-09,345.28,349.32,298.61,303.89,165032000,5691960000
2017-08-10,305.21,311.68,274.68,275.95,136637000,5031790000
2017-08-11,275.88,351.16,275.02,328.24,233971000,4548600000
2017-08-12,327.82,341.85,313.7,317.09,126007000,5405200000
2017-08-13,316.29,317.47,298.05,298.05,120722000,5215330000
2017-08-14,296.1,327.39,293.5,297.68,174968000,4882720000
2017-08-15,298.19,306.52,292.88,297.86,133924000,4917480000
2017-08-16,297.97,307.62,290.21,300.21,106436000,4914350000
2017-08-17,301.02,460.53,293.1,460.53,744605000,4964980000
2017-08-18,458.67,764.07,458.67,690.24,3087490000,7565590000
2017-08-19,697.04,1091.97,625.16,754.56,3196230000,11498100000
2017-08-20,772.42,858.96,683.94,712.87,1494020000,12742600000
2017-08-21,723.7,756.59,573.47,599.63,1123400000,11943100000
2017-08-22,596.19,734.88,570.27,690.88,1393260000,9844620000
2017-08-23,690.96,715.67,651.32,669.4,501983000,11416800000
2017-08-24,670.03,697.32,617.31,628.11,407177000,11071100000
2017-08-25,627.06,665.41,624.3,641.05,348632000,10365600000
2017-08-26,641.88,646.93,622.36,625.32,193414000,10616100000
2017-08-27,625.89,654.87,589.63,620.9,402718000,10357000000
2017-08-28,619.7,626.88,595.52,596.18,216273000,10254800000
2017-08-29,596.13,599.3,528.32,552.93,370017000,9866110000
2017-08-30,549.32,604.69,535.92,575.21,443856000,9092300000
2017-08-31,576.25,603.69,572.14,588.17,298144000,9538750000
2017-09-01,588.4,645.52,586.73,622.17,393839000,9740460000
2017-09-02,621.96,642.05,560.58,575.9,350478000,10297000000
2017-09-03,578.27,617.41,563.59,607.43,344862000,9574520000
2017-09-04,608.26,608.26,500.75,517.24,328957000,10072200000
2017-09-05,514.9,550.95,458.78,541.71,338978000,8527100000
2017-09-06,541.28,642.69,539.96,638.18,693240000,8964700000
2017-09-07,636.85,707.98,603.5,652.86,1082380000,10548500000
2017-09-08,654.37,687.3,557.5,583.1,809763000,10840500000
2017-09-09,584.73,586.18,539.15,547.47,234578000,9688150000
2017-09-10,546.48,546.75,484.09,537.07,289508000,9055430000
2017-09-11,537.19,556.25,515.67,537.81,274712000,8902570000
2017-09-12,539.03,559.22,505.01,510.41,273825000,8934220000
2017-09-13,509.47,519.2,471.22,503.61,340344000,8445540000
2017-09-14,504.22,510.47,367.04,367.04,257431000,8359650000
2017-09-15,369.49,448.39,301.69,424.02,707231000,6126800000
2017-09-16,424.49,450.98,388.2,440.22,313583000,7039590000
2017-09-17,438.9,438.9,384.06,419.86,221828000,7279520000
2017-09-18,422.09,479.69,422.09,479.32,458550000,7001640000
2017-09-19,480.64,550.41,450.05,527.88,802321000,7975010000
2017-09-20,526.74,527.72,471.09,476.05,669264000,8741670000
2017-09-21,475.83,480.0,413.75,416.26,316731000,7898300000
2017-09-22,417.92,435.44,402.77,415.09,241905000,6937170000
2017-09-23,415.31,432.96,407.45,428.5,189127000,6895970000
2017-09-24,428.8,433.04,419.25,421.03,114527000,7121950000
2017-09-25,419.65,450.13,419.65,445.8,302272000,6971280000
2017-09-26,445.36,458.25,441.83,441.83,165303000,7400020000
2017-09-27,441.86,460.0,439.41,457.31,197885000,7343490000
2017-09-28,456.71,465.2,433.5,447.81,300421000,7592000000
2017-09-29,447.66,447.92,426.99,436.77,148725000,7441960000
2017-09-30,436.64,445.62,432.53,432.63,150565000,7258880000
2017-10-01,433.38,436.94,415.15,415.15,164290000,7207770000
2017-10-02,415.87,430.86,411.84,421.19,219590000,6921580000
2017-10-03,421.79,421.79,395.74,404.18,130247000,7022370000
2017-10-04,404.2,404.45,354.55,358.45,251584000,6729640000
2017-10-05,358.42,371.19,348.45,355.75,268341000,5971260000
2017-10-06,355.44,371.28,354.96,363.01,182031000,5926540000
2017-10-07,363.6,364.88,356.06,360.78,91004000,6062860000
2017-10-08,360.09,362.46,337.0,342.21,203754000,6004940000
2017-10-09,342.76,342.76,289.04,314.16,288075000,5716320000
2017-10-10,313.22,352.02,311.7,321.59,367809000,5224170000
2017-10-11,320.2,321.26,312.13,314.9,131577000,5341000000
2017-10-12,315.47,330.13,310.71,313.21,262066000,5262390000
2017-10-13,314.15,323.08,304.38,321.46,288210000,5242630000
2017-10-14,321.54,327.42,317.35,321.96,164137000,5369720000
2017-10-15,322.42,323.59,307.68,314.95,133385000,5384760000
2017-10-16,315.26,318.02,310.52,313.64,117797000,5265400000
2017-10-17,313.7,394.96,309.64,371.73,1008160000,5239520000
2017-10-18,373.65,376.18,313.77,339.17,477184000,6240990000
2017-10-19,339.27,339.27,326.27,330.81,195578000,5667070000
2017-10-20,330.9,332.98,323.08,327.44,160204000,5527860000
2017-10-21,326.75,328.45,317.46,323.36,129938000,5458980000
2017-10-22,323.5,355.52,323.5,331.66,355546000,5405020000
2017-10-23,330.67,332.28,309.87,315.6,191558000,5524790000
2017-10-24,315.9,340.45,311.48,326.89,267442000,5278410000
2017-10-25,326.59,334.38,320.38,332.13,151935000,5457720000
2017-10-26,332.11,350.94,331.21,338.2,234967000,5550700000
2017-10-27,338.3,372.81,338.24,367.57,501989000,5655870000
2017-10-28,369.54,425.44,369.06,423.35,781037000,6183520000
2017-10-29,420.47,526.12,408.4,451.92,2002440000,7042260000
2017-10-30,458.45,478.42,417.62,448.23,796409000,7679000000
2017-10-31,449.37,454.07,431.76,439.05,343799000,7527260000
2017-11-01,438.3,538.26,437.91,531.83,1152230000,7342250000
2017-11-02,527.68,610.39,514.52,587.22,1632060000,8840010000
2017-11-03,587.32,684.53,577.86,625.32,1682210000,9839760000
2017-11-04,635.35,642.05,571.12,620.45,1161370000,10647200000
2017-11-05,619.91,635.72,579.13,630.7,816028000,10390900000
2017-11-06,630.31,657.34,602.65,602.65,794105000,10566600000
2017-11-07,602.68,626.21,602.45,616.3,375367000,10105200000
2017-11-08,615.24,646.38,565.6,622.46,837646000,10317500000
2017-11-09,622.31,670.14,619.26,654.3,710387000,10437700000
2017-11-10,651.77,1034.77,651.77,1007.42,5195420000,10933000000
2017-11-11,1001.64,1403.66,910.72,1340.45,5139770000,16807400000
2017-11-12,1346.97,2477.65,1215.58,1388.86,8371320000,22614400000
2017-11-13,1381.82,1501.16,1043.0,1353.99,4850570000,23214700000
2017-11-14,1346.73,1390.21,1211.39,1273.53,1697910000,22626200000
2017-11-15,1269.79,1326.39,1191.98,1212.4,1321780000,21335600000
2017-11-16,1202.17,1210.36,876.57,900.78,2034690000,20202000000
2017-11-17,909.16,1217.42,863.98,1185.48,3203430000,15279000000
2017-11-18,1197.43,1388.11,1197.43,1254.53,3053770000,20125900000
2017-11-19,1260.95,1262.34,1144.08,1172.05,1285910000,21196200000
2017-11-20,1172.43,1236.01,1167.28,1236.01,800053000,19710200000
2017-11-21,1220.78,1224.15,1140.88,1176.97,772859000,20525100000
2017-11-22,1175.06,1335.25,1171.6,1303.31,1517620000,19758600000
2017-11-23,1302.23,1683.81,1299.95,1683.81,4112090000,21899400000
2017-11-24,1651.86,1782.83,1575.76,1648.51,3128960000,27782400000
2017-11-25,1634.0,1656.55,1535.77,1571.27,1560040000,27484900000
2017-11-26,1571.39,1758.61,1563.35,1735.66,1593050000,26434500000
2017-11-27,1722.93,1742.4,1607.79,1622.57,1391460000,28986800000
2017-11-28,1621.17,1629.48,1543.08,1546.18,1274880000,27277200000
2017-11-29,1541.63,1673.23,1332.14,1359.71,2345250000,25941800000
2017-11-30,1380.36,1468.75,1222.1,1389.78,1211730000,23230400000
2017-12-01,1381.81,1482.68,1300.46,1462.68,965151000,23257100000
2017-12-02,1462.06,1502.37,1415.49,1434.98,574510000,24610500000
2017-12-03,1435.36,1649.3,1420.6,1559.93,1476740000,24163600000
2017-12-04,1560.16,1580.11,1498.98,1576.92,780634000,26267300000
2017-12-05,1580.16,1623.16,1498.0,1501.85,1032800000,26606900000
2017-12-06,1498.49,1530.65,1396.16,1430.1,1154620000,25234400000
2017-12-07,1430.71,1454.73,1323.75,1330.93,1285210000,24095900000
2017-12-08,1329.16,1731.32,1247.93,1464.13,2553980000,22386700000
2017-12-09,1464.63,1526.4,1353.9,1410.06,1059610000,24671600000
2017-12-10,1411.84,1411.84,1226.21,1323.07,885886000,23784900000
2017-12-11,1320.0,1453.49,1316.85,1423.38,922792000,22239900000
2017-12-12,1427.38,1638.29,1427.38,1615.03,1386250000,24051800000
2017-12-13,1616.99,1702.53,1497.94,1607.65,1245190000,27249600000
2017-12-14,1600.67,2080.41,1593.15,1966.14,2717410000,26977700000
2017-12-15,1974.66,1974.66,1678.06,1815.43,1457230000,33284800000
2017-12-16,1824.85,1890.06,1769.5,1801.88,971255000,30762600000
2017-12-17,1812.33,1939.93,1806.65,1862.88,1020590000,30554500000
2017-12-18,1869.21,2353.64,1799.12,2196.64,2538650000,31516900000
2017-12-19,2199.06,2918.93,2160.92,2805.89,3913340000,37083300000
